Geneid,DRX114943,DRX114944,DRX114945,DRX114946,DRX114947,DRX114948,DRX114949,DRX114950
SYNPCC7002_RS01135,7.9153944393468505,7.802661376820846,7.244132133006095,7.323290220778071,8.141922802858273,6.893731259237846,8.145187558630381,7.218511039214749
SYNPCC7002_RS01140,8.107153497847941,8.150005678641842,7.172524737437048,7.140027256401779,8.479233833241794,7.179229040857923,8.170463073524566,7.522718521669581
SYNPCC7002_RS01145,11.840305518543364,11.972470181901738,10.889284589009929,10.525790565256354,12.390576604423904,11.195061669725769,12.134558576153944,11.179484417193867
SYNPCC7002_RS16355,11.24733632782496,10.885282919198351,9.688941637209158,9.707358110966604,11.110890545196954,10.42785722757435,11.447124015579734,9.96809224275222
SYNPCC7002_RS16360,11.22726355879596,10.685455442500826,9.608777435704464,9.748184861844617,10.971960215990686,10.64317059557034,11.58063358751908,9.949896463945068
SYNPCC7002_RS01150,10.717247980199696,9.771488102724149,8.701486090127256,9.368256161076468,10.48390986558129,10.095246970809495,10.913160517059845,9.267609192892428
SYNPCC7002_RS01155,5.062238392792777,4.98846885576145,6.425346036451346,6.395117963775608,4.856580166846761,6.220683864039707,5.145317239054901,6.144982987881977
SYNPCC7002_RS01160,5.993796659833347,5.943472652094199,6.3237165875140855,6.198414052918251,6.039211126302008,6.319552210866303,6.266895469055532,6.4606799945378635
SYNPCC7002_RS01165,4.673342720164779,4.282012719798066,5.1809009647424915,4.900406663163445,4.4695473726983685,4.470286786866562,4.182108540758644,5.0904802932465785
SYNPCC7002_RS01170,4.331643025133459,4.116722316834299,5.232613425519367,5.209140110777886,4.345607631724155,5.18913397496814,4.652508833223291,5.328685169624543
SYNPCC7002_RS17040,8.547270420076163,7.984309649658548,10.6722557467804,10.331005625601838,8.618714518807021,10.740394868116052,8.978558519838945,10.78032511197533
SYNPCC7002_RS01185,5.13241537726548,4.897292177593007,5.082913605861241,5.127318830669271,5.523010098863248,5.0620848638312035,5.717126997970516,5.3818353007114315
SYNPCC7002_RS01190,5.371345564778009,5.08874529199047,5.830222646501728,5.837317838339013,5.522821306400514,5.777516509464394,5.574091418057977,6.215283331089039
SYNPCC7002_RS01200,9.793002644969832,11.664798939052735,13.04992728860845,12.318450531760806,10.924341642097415,12.198947967071119,11.955169864884182,12.159295308798583
SYNPCC7002_RS16055,3.5543541695037555,3.2315817343924707,4.036388441047252,4.319880040301663,3.4499747458226713,4.242773911873734,3.639465200913453,4.035803230880171
SYNPCC7002_RS01210,6.570943331633531,6.477039886767236,8.302606542411798,8.262752742178378,6.72654218334919,8.417989253979389,6.99329590585126,9.000513567526998
SYNPCC7002_RS01215,4.90021604367058,4.378562597761362,6.562675339505929,6.304001302705425,5.053088980442128,6.390206295878339,4.972197298690444,6.651028932611397
SYNPCC7002_RS01220,10.738191679940803,10.54617162414215,12.524148547117303,12.81791574269047,10.671482088234846,12.905480852380741,10.947178746626061,13.637097336407852
SYNPCC7002_RS01225,6.320708854230734,6.340709643057303,7.3157739193898985,7.3522344655844485,6.340789865661657,7.099489674518727,6.556700256882897,7.314650323759043
SYNPCC7002_RS01230,5.995343889693309,5.769373773401372,7.445233867815527,7.448423565336913,6.001562046847441,6.821730782937965,6.2538451674303355,7.0658041664799285
SYNPCC7002_RS01235,2.479042812645862,1.6376204456178514,3.64736297162385,3.0003088940928824,2.0742932777566336,3.384859629683715,0.9407588677309701,3.153301064223155
SYNPCC7002_RS01240,5.2721920876145525,4.647337248048986,6.707573646776902,6.410760038448444,5.368905740818787,6.927061751882344,5.106113521187304,6.441342428850203
SYNPCC7002_RS01245,4.61656167106848,4.859256748459752,10.476302679548162,10.096845442363332,5.298709684036508,9.48270843660289,6.189985785492003,9.543791504461915
SYNPCC7002_RS01250,5.004258203516068,4.990910751844682,7.384518388876118,7.175080659565396,5.1818108931219715,6.680085416746014,5.767952151734805,7.1416785468748305
SYNPCC7002_RS01260,5.320704422553447,5.347063655580258,6.82983452234825,6.620490817950545,5.368593461069026,6.45264595968109,5.588811190397177,6.66918336327775
SYNPCC7002_RS01265,4.534768675134787,3.9998290986461895,4.853833004917255,4.766794788716743,4.479740802834609,5.052023128606256,4.787354573389576,5.009510792919767
SYNPCC7002_RS01270,4.949333830672195,4.656644618966364,5.12453507052378,5.328365259009802,4.791578518323762,5.5322244720233344,5.017520254997485,5.360332732840041
SYNPCC7002_RS01275,3.4078073566227274,3.5014699143586334,3.781046167706309,4.222382444328328,3.610792655315306,4.2210145479330885,3.854934379785556,3.848632714989347
SYNPCC7002_RS16920,3.71378239875908,3.864017825954916,5.011260317292674,6.032874253530954,4.607290695883214,5.109259185194138,4.356725981092202,5.652508354961924
SYNPCC7002_RS01280,4.91177655681374,4.804987291104217,5.102288533444156,5.229901823218806,5.004064749640407,5.289717589378721,5.367222512798826,4.695995726288856
SYNPCC7002_RS01285,5.565185922720432,5.51459858531847,6.293604638201825,6.1789722041766755,5.764249594733804,6.427546456018697,6.086940914026542,6.287696812438947
SYNPCC7002_RS01290,5.514824334575436,5.4859806604393535,5.549217063333456,5.777416398712454,5.720529350464643,5.857175171797942,5.827818865173165,5.409585097652237
SYNPCC7002_RS01295,6.809327758318323,6.53887394996531,6.723219489367312,6.97496785216104,7.030036596247072,6.705139454885286,6.944907600625356,6.9891683552720805
SYNPCC7002_RS01300,4.531516884861574,4.592227734970752,4.863457601595822,5.046171253953827,4.6608119461677235,5.11383667624397,4.764433065701554,4.9430816983308254
SYNPCC7002_RS01305,9.917762014691302,9.693818367599372,10.023519356112642,9.836934539642582,9.495154423163626,10.0894688317219,9.314688156341871,10.208197705866484
SYNPCC7002_RS01310,2.4863394764140114,2.586977769253389,3.5544306347118697,4.017873024655428,2.336766126690771,3.287392685254096,2.5164711935704185,3.403710100483288
SYNPCC7002_RS16925,7.893804128410841,8.37817280524854,3.5816752702053725,4.312067847930743,6.612827606621668,4.93261806115708,7.813509154391876,3.289106131542132
SYNPCC7002_RS01315,9.072432372783926,9.186552098221828,8.796689520820399,8.364511190391132,9.153274094507871,8.608893119249394,9.31370793941447,8.38586314641092
SYNPCC7002_RS01320,7.998545148511768,6.926625981858005,8.479189282931634,7.949466281120567,8.03231982708906,8.831884097863604,8.15988206526474,7.944883792595861
SYNPCC7002_RS01325,5.402601476283164,5.284301025098235,5.612623333039508,5.5526368720441575,5.645017447790893,5.69820814897649,5.36806321310223,5.522813250948427
SYNPCC7002_RS01330,11.80402388598703,12.103624811944092,9.369424825723916,9.335811041152725,11.742835341660642,10.192774780483028,11.722622952619986,9.780973515347874
