Geneid,SRX9895140,SRX9895141,SRX9895142,SRX9895143,SRX9895144,SRX9895145
SGL_RS14715,6.281692454769865,6.524238150074873,6.255526066561876,5.495261349211939,5.145020804370722,5.280121099353388
SGL_RS14720,6.944276362847954,7.557974745603683,7.33796787147454,5.940535519471086,6.341590366531635,6.243065241610854
SGL_RS14730,5.289595579725326,5.6607165053588515,5.60955010635368,3.628555508048521,4.31952295282997,4.476746625627165
SGL_RS14735,5.974922463496384,5.373303318827929,5.742315847758819,4.68845765325135,4.773054242199294,5.068160325106978
SGL_RS14740,6.618512320696423,5.989305066877776,6.309950777262915,5.87206249010616,6.1975346130495685,5.563953178241194
SGL_RS14745,0.8531791790362373,0.8571339162617959,1.3029682257855377,1.79163976093917,2.499644157283479,2.174179647695823
SGL_RS14750,6.8055616272654555,6.964431852073111,6.847725552832721,6.170111332066597,6.1977939883855875,6.561440163978224
SGL_RS14755,4.363179373072383,4.246340104168987,4.206863904140654,4.202451787513121,4.228097138868748,4.399977391917442
SGL_RS14760,3.0637187874333196,2.970261140319205,3.324075801798836,2.246562300475102,2.9140771537890866,3.3199244595227406
SGL_RS14765,2.192681070639617,2.0460806374604488,2.2862965161891333,2.566611422264039,2.412219605869454,2.2413490162491847
SGL_RS14770,3.7627546677251758,3.9496554406918607,3.7860960119543776,4.001871332310299,3.8705939941514798,4.1023254422381354
SGL_RS14775,6.4061541893437415,6.774703857178725,6.5866586703013965,6.114212811789276,6.299798968517821,6.698583450784114
SGL_RS14780,4.255300713295045,4.367144136334923,4.50009368167518,3.6502326399727494,3.9066418387600352,4.8711996000000575
SGL_RS14785,4.853347212328347,5.076197015154013,4.694466832717302,4.551029595184466,4.642001155990527,4.984974176345521
SGL_RS14790,4.5380551502867155,4.596058665001356,4.532604329805354,3.572794523564669,3.2610871336908835,4.1261191006551075
SGL_RS14795,4.155812886120066,4.873632206428968,4.285879005092165,3.1346221572842516,3.3185300691860338,4.037417649209284
SGL_RS14800,4.1600338902640654,4.862134231002455,4.550892735916968,3.447364625015036,2.976297813211262,4.031285234334393
SGL_RS14805,4.2922789239201435,4.068067466298975,4.215536396058948,3.4122346646668835,3.1806788654671676,4.134439078243068
SGL_RS14810,6.97664507954321,6.710491804888693,6.89171148001343,6.4539335867238625,6.473554221992039,6.577342824717803
SGL_RS14815,4.187503610999825,3.7203975366272766,3.8935792987209172,3.918919529395283,4.093044446045055,3.839463408190057
SGL_RS14820,3.487959776243069,2.5931504595915733,2.828079675556602,2.2275175050406917,2.564662255931075,2.943229856824966
