Geneid,SRX368713,SRX368714,SRX368715,SRX368716,SRX368717,SRX368718,SRX368719,SRX368720,SRX368721,SRX368722,SRX368724,SRX368725,SRX9848492,SRX9848493,SRX9848502,SRX9848503,SRX9848504,SRX9848505
SGL_RS08735,6.899723250618588,4.924854833082341,6.137755327508676,2.3245026545413507,5.798945502589805,5.605529651595809,7.160693360369814,5.323085668342626,5.050062859228694,4.939960362791731,6.206759228242323,6.163325084887645,3.0331269981318765,3.021250800284338,2.628147791531835,3.0957572850546042,3.1577709070320905,3.314972180351185
SGL_RS18815,7.6310245616521035,6.304589622816117,6.717951966494028,2.8234309773693314,7.572109808081118,7.465764979550369,7.43345946246288,6.148561691346381,6.618511613755799,3.9277527613361207,7.118651717192846,5.282631305129947,0.0,0.8295545121267477,1.3825163347843903,0.7032191283989193,2.001380223153852,1.4481863854045804
SGL_RS08740,6.550829785670675,5.31794742134749,6.3199395813400585,4.03364678353787,7.284952702787652,6.834797724414192,5.609987174560661,6.171512585877739,7.713320189528412,4.246812516207925,6.456157503910645,7.109196523889241,3.2561344384441577,2.7862028497379248,3.0406337632900007,3.3970507896373903,2.8236251497960527,3.422000265881328
SGL_RS08745,5.632129111249771,6.2385962797643675,5.9154434813686185,1.8291983813565915,6.705267629435676,6.375234571963334,7.169785248266042,6.0724259204388,6.8408963030551275,4.6375686282159245,7.0504658840043435,7.030413662593722,4.4326781754095546,5.106919853053611,5.100458139263501,5.599773321315641,5.788130976376455,5.626752084931265
SGL_RS08750,6.54031176818667,4.622055370542547,5.4218827636535805,5.623968982316094,5.9024130917265465,6.441284123062345,4.992170359738889,5.359942321951924,5.795785299872936,4.153803472819308,6.995029932075884,6.724548841810575,3.3334271724125406,2.5463611180193726,2.5444616471917745,2.410916404737909,2.7395718213784677,2.4479396157145548
SGL_RS08755,7.423474184944446,5.649840981847672,6.564262932668858,4.286015927024384,6.757905257549227,7.227840990644119,5.87232920369428,6.7024635898836955,7.016198841542584,4.77912568041231,7.2702905322643,7.406295150848644,3.2599966110299743,3.7952732434539675,3.9542273656311764,3.5392350164688753,4.358417020690522,3.7523879035766528
SGL_RS08760,4.700512414145682,3.4622615457438575,4.130729424669169,0.0,4.0086747211836995,3.1011637049129446,4.311396541072363,1.4269425445119495,2.5139397282107727,2.9438343861012544,3.948224449949813,5.385938410490305,2.530093880512598,3.897653571154457,4.099607008402621,3.6814324349801852,4.3387464317809545,4.017289180959243
SGL_RS08765,8.525492203265024,3.9916953217278954,6.365451028402918,2.3943544847876135,8.162968105315183,8.399871897562557,6.550199463813183,6.547404202335776,7.60025918035738,5.712977422221096,7.201972188910082,7.325347992043638,2.9467706780940865,3.7761801061988622,3.170749166328422,3.6703965584050424,3.099988042237853,3.3431270952950687
SGL_RS08770,8.02155598261307,4.9891099848634735,7.30376733911836,2.137606530679859,8.386072076152342,9.316310298944355,8.447725848505605,7.574477103148269,7.422642321779864,6.561606856665065,8.005903153502135,8.332100326933128,5.347735046074873,4.747748280531771,4.790411142894974,6.036816092390316,6.339584875463091,6.122220042769852
SGL_RS08775,7.217859736107907,4.002918272944947,6.245639738346831,1.1008245835211263,6.763539397915053,7.392635541111133,7.08210294428183,6.141126850469748,5.353090893022545,6.013419710644915,6.960357368279437,7.496531801134024,2.6075075844091753,3.04349415466781,2.8790359662231393,3.585174177181298,3.6354717851792158,3.121839164894811
