Geneid,ERX5015785,ERX5015786,ERX5015787,ERX5015788,ERX5015789,ERX5015790,ERX5015791,ERX5015792,ERX5015793,ERX5015794
SGL_RS15850,0.0,0.0,2.7902815241748447,0.0,2.3617102851482032,2.2454135049479405,1.8478019584608893,0.0,2.935536186053083,0.0
SGL_RS15855,5.69253604413854,5.71630085238186,7.718704058551454,7.391025577363817,6.131132401260507,6.63806863576101,6.29708356950362,6.557154696265654,5.485806511034387,4.82866331482741
SGL_RS15860,6.277824138926342,6.415813705067784,7.642883230424913,7.843717473956031,6.6416633722361835,7.009107766600454,6.885615449299391,7.198816809584171,6.0696322921100245,5.406152239418394
SGL_RS15865,6.9005381544116915,6.922544165008769,7.950392683386643,8.106495398124872,7.268545270372368,7.1746063255948735,7.207687604752355,7.075640350055604,6.518294384611939,6.3086254716686
SGL_RS15870,4.6311265482146835,4.6648436143711445,6.314403155140584,6.23449555561248,4.841378092396772,4.972764141291168,5.074828989808602,4.898670582043996,3.6240802541208983,4.674816617334758
SGL_RS15875,6.645253199428947,7.029338823366061,5.845794425316475,5.632654434992875,5.803163572242139,5.956318728282215,5.932152175991008,5.854951926402698,6.762307762202985,6.8746155356470835
SGL_RS15880,5.266199287443521,5.116497683224811,5.070269588892074,4.556838007474662,4.766835597367698,4.849256355422493,4.443809776094276,4.500777713398878,5.875237038219605,5.43041969833979
SGL_RS15885,5.144369417393605,4.243440132789728,4.770863715515619,4.607548948775584,3.504554642943927,3.372161588997236,3.807104269669265,4.693766388480133,5.098117448038847,4.809983899872225
SGL_RS15890,5.2223331570401035,5.749891289142144,3.7740673460811442,3.964554250713693,5.898379339369188,7.012785453500119,7.603769819420273,7.768175073279143,8.299422887816661,8.512341547335733
SGL_RS15895,5.396921277637296,5.073520883401354,5.432384819748186,5.268500167393239,5.141265778483205,4.941551445998671,5.410340762518315,5.2676033339335095,5.334459304839006,5.442152617187908
SGL_RS15900,2.5800548020457374,3.564530625463843,4.513010258399829,4.350981564607112,4.33349256528549,4.309212053999208,4.105743416734371,3.851933068395594,3.629437447003381,3.381534274322254
SGL_RS15905,3.6928610888897997,3.508591838445154,4.974389855042153,4.250732328126296,4.416917314967404,4.077018241049189,4.091232296916701,4.821581498709462,4.195088349939034,4.108919416256726
SGL_RS15910,3.7829564900024204,3.334424817456709,4.271763923061728,4.446537771337473,4.509898300183686,4.056157412228237,4.095268467368111,4.5164519227006,4.039001572318419,4.040695585493753
SGL_RS15915,5.58669304925726,5.318066020288956,5.7236306218120125,5.719809936001899,5.24361645610574,5.245556153774424,5.653177666900429,5.668480917962793,5.516089031832374,5.51785331361213
SGL_RS15920,7.173788588215717,7.236272132228375,7.086663400978758,7.292012125468419,6.970097918391749,7.360364158865977,7.358204028929032,7.2798070296701916,7.787302019308596,7.776217236651616
SGL_RS15925,5.059755337681879,4.651197736416243,5.046749671262698,4.990288090368727,4.77845633748808,4.913777931625887,5.247861042269597,5.328500179143369,5.3791728394414875,5.460257433088301
SGL_RS15930,3.1356911529418032,3.460886472951531,2.2404351111095675,2.704691231269612,3.3393623271165733,2.721257848824106,3.4890432370456446,4.460830567028895,4.420222477113986,4.647940006522813
SGL_RS15935,6.093818224356154,5.825058124104578,5.32991656602587,5.242918729720318,5.579985180148449,6.145320291169516,7.014917808678409,6.93955524671527,7.139430878502903,7.5116092646912564
SGL_RS15945,3.2211266233600777,3.443231418206271,3.4000527910808773,3.6778751070222917,3.4073845660491178,2.56305268069203,3.764889281254769,3.774847578548247,2.1230645003469166,2.868037776121764
SGL_RS15950,4.562231065138415,3.6308477014709224,4.225547869271372,4.7928332535129385,4.072845028361489,4.1020445383738755,4.498711052548783,4.452727504577136,3.889432295065115,3.804472883504717
SGL_RS15955,2.2148249183796005,1.8450914704996122,2.929759236817793,3.7974634009436112,2.4295572454942063,2.7263252732921184,3.4726659109402447,3.4214666071330764,1.9769721019630395,2.435762070381257
SGL_RS19350,3.9902982179363287,2.7844454003138397,4.882270218262726,4.6793896343481824,4.204828947807225,3.8591548356895857,4.517484132471322,4.315756705773564,4.39319608743981,4.55719920111726
SGL_RS15960,5.896080003471468,5.334036584907006,5.602135326523854,5.838844822753356,5.494435639490792,5.334926278655487,5.411938525267275,5.996138390956072,5.582698548781727,5.600428554562856
SGL_RS15965,7.635616684335213,7.765358553504807,7.822050050026898,7.750702139578358,7.360838111030663,7.049309884205782,7.508092283535646,7.584230819783042,7.0299266085548355,7.140429986958606
SGL_RS15970,4.0749838831486915,3.4930724795244164,5.473393973733431,4.983559214628439,4.971807453321212,4.454274671401335,3.6791555609684035,5.250452735049341,4.110067912721109,4.288585374042566
SGL_RS15975,5.275851648691785,4.437439300707529,4.142692150881793,4.863721573421969,4.005147511938996,4.43519832118378,4.482189731616352,4.347557534651894,4.698720268941887,4.426803580258792
SGL_RS15980,4.983520132161764,5.272252049728296,4.489061482280422,5.000565856335539,4.2980212580619765,5.347245920707995,4.970179171019794,5.145422472795182,5.729269992509554,5.0209275629424805
SGL_RS15985,6.448080635093718,6.097275113214151,5.573613570580709,5.817690651784993,5.216609565360952,5.8609150086308395,6.3399206908601276,5.734172241762808,5.9444880032174465,6.08447206590638
SGL_RS15995,4.150101479847105,3.297863491552256,4.2670060585456415,4.128365945330184,4.192594529770531,4.381661312681938,4.073887554851874,4.419022024528216,4.3046566330976805,4.218112640825897
SGL_RS19490,2.5543422195887384,3.651369630249076,3.9056558017293566,4.191274721333018,3.059826660252101,3.5915730601247184,4.987390181182597,4.290625426275942,3.676871591276191,3.9777496719867833
SGL_RS16000,5.28576810496431,5.4503022812330935,6.782395811378719,6.855761333573057,5.760616906667555,5.695451348891565,5.684771705026837,5.814083057538687,5.251656353600963,5.035408412026885
SGL_RS16005,5.244678748114552,5.485309146913408,6.276292671861912,6.052965186462228,4.97442189071598,5.124752405620605,5.3921665329141435,5.334447785914296,4.565401713144468,4.601795067878222
SGL_RS16015,2.9678315114324425,2.1601394774332876,3.9056558017293566,4.1356678005381875,3.293733754374158,2.8461647837396544,3.797328478286116,4.541321053191968,3.3828724968615576,3.4047442865004203
SGL_RS19080,5.310721164809112,5.078444739588686,5.032253911394854,5.69807786226948,5.0401039842626965,5.015328527306956,5.477306638320308,4.904817983552379,5.644462830358413,5.348373155312851
SGL_RS16020,5.3502003980646595,5.514913251962366,5.956586264737975,5.804982014652562,5.685203714907086,5.249896446874292,5.519863497859404,5.422668571567361,5.488742065126939,5.60142046025648
SGL_RS16025,4.979092163897893,5.2185085026337585,4.753162523355775,5.011580886533921,3.691707911535075,4.918723323899257,5.303748791926338,4.911222783827951,4.33281415966086,4.99175650051412
SGL_RS16030,5.7073213505648255,5.606049337686968,4.311448602551604,4.400029147492138,4.7184050884611,4.702467802412068,4.383955365619727,4.601796525919012,5.424795599289289,5.398258688296705
SGL_RS16035,3.951831087504591,3.812654116127065,2.934737296248097,2.9953896257587296,3.0968261913226924,3.31180049842408,3.1149987263233103,3.2963257493466247,3.2330873558885544,3.68158324407704
SGL_RS16040,6.914498042613935,7.077370974736492,7.282685778198502,7.184143704299116,6.473174902043166,5.81443650723287,5.829274103130665,5.803951724197448,6.915040578941614,6.866581950390396
SGL_RS16045,4.167232735920583,3.178199835463178,5.132685985366504,5.011580886533921,4.30260228508353,3.355568270127086,3.997462410825626,4.562286832364261,4.5164823045432065,5.207656827057961
SGL_RS16050,4.267842426570198,4.207501997155585,5.684844009125133,5.403615112538649,4.5346507545204044,3.922685063291565,4.44599867819582,3.472703387673244,4.355875184627702,3.4342584093048436
SGL_RS16055,6.274790949322949,5.635805770709126,6.739391126240719,6.8246981409742205,5.933456515348267,5.296201284623192,5.532875061212364,5.543389879918922,6.03081241394393,5.041912510709552
SGL_RS16060,10.147680697761084,9.690761806163577,10.54924568400595,11.014903999670848,11.038235888634395,10.809861365274463,11.491727703578514,10.901724503834041,11.254354708509002,10.714831683141272
SGL_RS16065,9.662296641925638,9.406612911067,10.404963562669503,10.710184266011897,10.804698888296128,10.296234303367546,11.007090324982569,10.372495636338936,10.778347227624652,10.06135989609405
SGL_RS16070,7.974033627568843,7.477001996872198,9.240704102047813,9.444305003928665,9.364055460804865,8.720488948636632,9.175695844476504,8.580828726423361,9.018461833627557,8.224463229514308
SGL_RS16075,8.80987967692124,9.03457662057675,8.656320462543114,8.980901868339787,8.302128000752464,8.206879907247998,8.754071477049854,8.200331425691793,8.806758362258723,8.46574340884906
SGL_RS16080,5.21443572760649,5.639927871692761,5.065482621166639,4.840361716293595,5.233722596992557,5.571212628237108,5.554572850737128,5.878100627668995,5.8746908752699305,5.854815276647351
SGL_RS16085,4.605652379319386,5.13460022034559,3.740166029429653,4.271704625250008,4.079162280089585,5.432106754541659,4.608072131620058,4.043312964375547,4.63610004654593,4.764931718259077
SGL_RS16090,4.677708733660703,5.387148915454986,5.27207194694381,5.2325163185709656,4.458369774373644,4.852565000336181,4.928522129442665,4.464912481796561,4.742973466243354,3.9900923671586703
SGL_RS16095,5.792339439631502,6.276535363110112,5.5028804544273315,4.8143445331264765,4.823407829641568,4.048205896449559,3.9044675857735673,4.192127368585258,4.839288648684928,4.2709202381709925
SGL_RS16100,5.073534203883435,6.009722854365356,4.8957204033131605,4.496557159159419,4.557539446667354,4.733425403570341,4.862123418975718,4.7451126806233095,5.071688809547104,4.70094603659573
SGL_RS16105,7.571568490009528,7.6023010169136285,6.234647905808955,6.7683412831046175,6.132925029386561,5.220964903624175,6.545332605202788,6.595231678998487,6.953056812119761,6.916297096493901
SGL_RS16110,9.328645357328694,9.866188868324587,7.7922246124682495,8.474238137513284,8.064887138014074,7.216280046746443,8.661524117562314,8.790030859301996,9.123032382073795,9.235255884046365
SGL_RS16115,10.993942371363374,11.248134092911865,9.348376527435581,9.778804444181555,9.74617628563105,8.739941639186242,10.22477864886624,10.394928883620151,10.491212901355482,10.662645780845054
SGL_RS19085,4.002877962413604,2.607747476261647,4.03618906220054,3.633702038660945,2.9004706703680245,3.214165779936926,4.216933871994353,4.200599449326066,4.194886002095722,4.711003824706972
SGL_RS16130,3.2158055446675764,2.09721073800915,3.8296581236146965,3.43180138875695,3.894375507703949,3.4632796951621154,3.2794282704827125,1.860942296421672,3.3093092667942825,3.5182692231351256
SGL_RS16135,2.1109476273110825,2.3041127671281916,3.6902582659368686,3.8009412693498232,3.0870839034774824,2.648662850241421,2.9635823302003517,3.4953297970903723,1.8783854587083595,2.8641778650171155
SGL_RS16140,2.8476251388183482,3.7937781815547535,3.6846054881114214,2.9237057687665158,2.9998847896503347,3.3417068472782816,2.294777589320965,2.787430014554056,1.1695104732571593,2.175749011896004
SGL_RS16145,1.3085754671578256,3.2871128001388565,3.7401067225730826,3.815789166032062,3.0075920127265854,3.5915730601247184,2.8178707007796717,3.238976267443712,2.797888635174858,2.451870807370143
SGL_RS16150,2.2984086438066873,1.922147401267375,3.741109928761259,4.5711920041575,2.3027617827248714,2.4912011840429247,2.8919585924731512,3.6087443724586103,2.0565539852059955,1.4749165554259758
SGL_RS16155,5.929342822511945,4.737721556412667,6.402908600246389,6.4836046855294915,5.3318702985777495,4.817185971049071,4.822058067357313,5.7793730740339555,2.9471734485934893,3.2958700924705724
SGL_RS16160,4.4310412831793755,4.270883368475665,3.478527418906653,3.961312520709324,3.501396321362699,3.9344655816666223,4.203482945376982,4.027561273401549,3.216155491574779,3.6076488070394985
SGL_RS16165,3.735166763373833,3.1270103615430975,4.0221256176373075,4.035756265479236,3.617362518758865,3.2547908752479504,4.006311760538914,3.6704077918755824,2.3474107032523635,3.0229576454744262
SGL_RS16170,5.762090286477791,5.957972140227708,6.662080871119912,6.112446974706298,6.516613634570461,6.621185714665443,6.380555088316916,6.428206572580204,6.486586813577468,6.396331827478176
SGL_RS19095,4.081078522646073,3.7650930993897878,5.240864143817947,4.558790574381896,4.983612385920287,4.057648356637214,4.610071634651203,4.848503914338948,3.7907607255238656,4.093386301695656
SGL_RS16175,5.356963796288681,5.302058906713391,5.256756285778452,5.125664115302799,4.871690494084288,4.7895823414092025,5.04768468884467,5.032898975281071,5.054742486320094,5.278938127293451
