Geneid,SRX2492746,SRX2492747,SRX2492748,SRX2492749,SRX2492750,SRX2492751,SRX2694285,SRX2694286,SRX2694287,SRX2694288
SGL_RS04960,2.326663448833472,2.6264740772380444,2.3562734158262635,2.104433607726687,1.6344409877792454,2.4713413221130494,3.353648363747331,2.3053176450392234,4.64588367604885,2.665751217837853
SGL_RS04965,3.9265322995426715,3.618288001316367,4.2496812548189755,3.966726691319256,3.4249875142831927,4.0350102309545735,4.447582358427393,4.791983667460758,3.567087617229559,5.217390919927665
SGL_RS04970,6.636725660831786,6.145849127870678,6.413508421585253,6.422558315050877,6.541298423908036,6.445276025379902,6.535390623607113,6.126997272872113,7.065918040035325,7.449784205566427
SGL_RS04975,8.731378728721346,8.416659918715466,8.461858474183174,8.701242477656818,8.59724217752657,8.448864920795302,9.088146877187521,8.862675977852113,9.015037629396003,9.021383189634182
SGL_RS04980,6.310180086113556,6.038083736643038,6.546309996996643,6.520006786174794,6.463981548349776,6.694300075017802,6.524445394665394,7.0045405905568785,7.439538466743345,6.449007983469812
SGL_RS04985,7.3253998821375985,6.987722233962398,7.259560879305241,7.419008578964706,7.042314792640313,7.162877131218453,6.422923418101362,6.580533788918244,6.7714766014751735,6.413856698139934
SGL_RS04990,2.0838836791188586,2.5849015712714545,2.0411229768370394,2.1545859673288104,2.1211435535059286,2.5528393268653637,6.273146130207365,6.513810526529891,6.672556786980876,6.245719228452631
SGL_RS04995,8.814698719530494,8.745062449876167,8.813952942462894,9.469376264630977,9.479938135020294,9.565322486220914,9.439314209152737,9.18779521943466,9.46013302985642,9.131075731410977
SGL_RS05000,6.412196817370649,6.450327553458239,6.625989348036738,6.775856882358136,6.854230998650272,7.024463226393571,8.48642675739038,8.261188323933844,8.931653784481131,8.686412101274765
SGL_RS05005,7.201239221837038,6.795266214130338,7.182524938086025,7.66269089147063,7.580591826530748,7.718238049770535,7.77485243280022,7.151971875841907,7.316516307599937,7.077081759101961
SGL_RS05010,5.282375936581838,5.809978288608794,5.597226204761759,5.448633990833714,6.106487388358467,6.18486163119482,6.330822392776347,6.297965403412097,6.046871437671532,6.435851927284237
SGL_RS05015,5.4778922134695565,6.0273582574122475,5.777607304094025,5.658435212921324,6.258535080496641,6.305734239050005,5.384573719529305,5.9545075107710765,6.3153936648091085,5.851084034402868
SGL_RS05020,3.551752481386723,3.543608361259233,3.772933795523301,3.8333485472272137,3.7469048362899224,3.769126213289049,4.353685966447937,4.976456169572108,2.130445600283748,4.306346999223954
SGL_RS05025,3.60629577562175,3.757457357977473,4.225191955550813,4.07599600383465,4.511935136301057,4.4378109040822595,5.351545532261998,4.944825010776917,5.2223179418700445,4.990149647698035
SGL_RS05030,4.416307611359883,5.084953521356749,4.989119355929851,4.733181018712135,5.38825043313609,5.272069648296256,6.699331683421914,6.268840196624641,5.733251017591415,6.168772547121892
SGL_RS05035,2.1126062274902373,2.3397913301270967,2.2420201488384803,2.9689689460583235,3.4617453403551286,3.6490140075126347,4.888868192077389,5.385315127856885,7.13206668724045,6.29345534762642
SGL_RS05040,7.858339987653299,7.331156537653514,7.614115302582221,7.872664035547485,7.554614633503663,7.709602467189476,6.0050973492303665,6.191452306681909,7.785994390034092,7.426479884360664
SGL_RS05050,5.4102412129286,5.0715257431698,5.536664118198556,5.059476457987037,5.320467494932629,5.1424201292963385,6.002196000245203,5.424997987813545,6.529167017602402,6.622483772499466
SGL_RS05055,5.575619849881329,5.289629730966763,5.436032564817831,5.673062064518737,5.329977235427015,5.532117567376711,5.372094962844506,5.796076729069127,4.666321285732825,4.8137851177630875
