Geneid,SRX11490741,SRX11490742,SRX11490743,SRX11490744,SRX11490745,SRX11490746,SRX11490747,SRX11490748,SRX11490749,SRX11490750,SRX11490751,SRX11490752
SGL_RS02195,6.18852239343113,6.1302005906364885,6.361482739572977,6.5255643855406005,6.180885023810511,6.274793085057443,5.674486303306704,5.938896274785955,5.984510380238123,6.437610123049334,6.2295606311818785,6.523131382797934
SGL_RS02200,6.772557389306031,6.576706966621236,6.440192211494146,6.532441857115003,6.5228874462446536,6.705640084579721,6.640267243534608,6.517441442623765,6.5249571062981415,7.230531388803252,7.155988969909263,7.288190974580262
SGL_RS02205,8.494585132756228,8.893697331832897,8.924525032374715,8.831794124643897,8.751384177935316,8.526638559755728,9.305436209925185,9.151270785471706,9.119355787786354,9.945096327897048,9.793965650198377,9.964265881645238
SGL_RS02210,5.439874924995184,5.5149263478981565,5.410221895381978,5.5859087283809625,5.687370299334431,5.832240701431349,4.450122647983601,4.74675092646983,4.542314826119989,4.838906532128401,4.868492337390789,4.564622649524305
SGL_RS02215,4.9300994329621615,4.720626608241286,4.819861760478191,4.230350413184545,4.709911174480636,4.461183358049537,2.873549280496852,4.289266658717576,3.2125574141053885,3.753020382499992,2.8633802883917268,3.7662617925870565
SGL_RS02220,5.483398875613156,5.37608192168689,5.3472069188612625,5.506616589455083,5.248411281106487,5.4592071128145125,4.878558691111225,5.021342713101462,5.05807199434943,4.671645284155664,4.436628355679255,4.661423347547192
SGL_RS02225,6.583770885676542,6.733552400487765,6.653474922511704,6.571080038139296,6.684936870443576,6.617288503189453,6.530476283669031,6.790351377493727,6.783964187850634,6.194265442894294,6.12289146507953,6.169660661389069
SGL_RS02230,6.942795870968863,6.739661249473323,6.759717837091477,6.657954951651649,6.490292997866881,6.7085325688337125,6.511231717933538,6.147045827051489,6.302379195919183,5.873117317369599,6.063679222703641,6.000772474449924
SGL_RS02235,6.862236286459854,6.9277285451867,6.719742034222192,6.49884110387466,6.394016039716781,6.52782234769943,6.4616509121374515,6.104328019559817,5.9740709318702185,5.585953593684503,5.407566285909443,5.195775319748104
SGL_RS02240,5.344207382560046,5.084382749338885,5.6540542791131605,5.339447624462612,5.250115720298431,5.610265598435466,5.085839607447853,5.013775405904358,5.4374318880165955,5.661353245675648,5.9137155789086,5.657194041524284
SGL_RS02245,7.212372482809972,7.09681998199854,7.1634477672949055,7.256510676618044,7.2667195574845245,7.1097593126036625,5.945464779621215,6.367428363634831,6.4499644887052625,6.672945376671722,6.4853767707107375,6.718361081344102
