Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed
SRX13465655	17236147	374598	16597283	45308	0	0	0	0	0	0	0	0	0	203982	14787	189	2.1733279485258508	17236147.0	17190839.0	99.74	45308.0	0.26	SRX13465655_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17236147.0	0.0	20-51	53.0	2.232094105023967	50.61971506741037	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass	2.6	17293385	887427	17293385	875776610	2308445	872489274	0.3753623883606574	0.0036	0.0874	0.909
SRX13465656	19032831	348986	18392391	43123	0	0	0	0	0	0	0	0	0	231625	16497	209	1.8336000566599893	19032831.0	18989708.0	99.77	43123.0	0.23	SRX13465656_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19032831.0	0.0	20-51	52.0	2.0187251469576264	50.63535587532932	pass	pass	fail	pass	fail	warn	warn	warn	fail	fail	pass	2.6	19126197	966617	19126197	968395344	3598127	963734553	0.4812901083093187	0.0049	0.0628	0.9323
SRX13465657	10321292	180557	9957126	63075	0	0	0	0	0	0	0	0	0	111178	9283	73	1.7493643237687686	10321292.0	10258217.0	99.39	63075.0	0.61	SRX13465657_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10321292.0	0.0	20-51	52.0	4.012474947346806	50.59773456656395	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	10536159	532752	10536159	530620365	7791709	522234404	1.5804069261457765	0.0032	0.0875	0.9093
SRX13465658	14193928	260728	13724404	34584	0	0	0	0	0	0	0	0	0	159587	14509	116	1.8368981440514565	14193928.0	14159344.0	99.76	34584.0	0.24	SRX13465658_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14193928.0	0.0	20-51	52.0	3.1139728242576634	50.61516079269953	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	14239254	735833	14239254	721220463	1950457	718428641	0.3870968924518715	0.004	0.0829	0.9131
SRX13465659	16887941	278155	16356575	40507	0	0	0	0	0	0	0	0	0	197051	15517	136	1.6470628361385204	16887941.0	16847434.0	99.76	40507.0	0.24	SRX13465659_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16887941.0	0.0	20-51	52.0	2.7665683201198767	50.61449906770754	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	16928584	866079	16928584	857593830	1848739	854775286	0.3286572152693776	0.0038	0.0818	0.9144
SRX13465660	9806922	116676	9556999	19134	0	0	0	0	0	0	0	0	0	106923	7121	69	1.189731089938311	9806922.0	9787788.0	99.8	19134.0	0.2	SRX13465660_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9806922.0	0.0	20-51	53.0	3.4734082245072697	50.61345924847776	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	9863669	508498	9863669	499172255	2244643	496362581	0.5628666200608445	0.0038	0.0864	0.9098
SRX13465661	12880643	125035	12596297	22157	0	0	0	0	0	0	0	0	0	129962	7135	57	0.9707201728982008	12880643.0	12858486.0	99.83	22157.0	0.17	SRX13465661_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12880643.0	0.0	20-51	53.0	2.792004990235694	50.61629943474095	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	12965265	640045	12965265	655950750	3273578	651970810	0.6067437227566247	0.0035	0.0826	0.9139
SRX13465662	12797239	119532	12507047	23176	0	0	0	0	0	0	0	0	0	139553	7867	64	0.9340452264742418	12797239.0	12774063.0	99.82	23176.0	0.18	SRX13465662_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12797239.0	0.0	20-51	52.0	2.885356726924696	50.62193438756594	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass	2.6	12829018	636673	12829018	649912583	1389596	647821337	0.3217734284119869	0.0043	0.0819	0.9137
SRX13465663	15694147	181029	15293094	69012	0	0	0	0	0	0	0	0	0	142638	8303	71	1.1534809760606932	15694147.0	15625135.0	99.56	69012.0	0.44	SRX13465663_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15694147.0	0.0	20-51	53.0	2.167866065973052	50.62261249368952	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass	2.6	15806220	775602	15806220	799545280	4214841	794479118	0.6336304055224989	0.0025	0.0744	0.9231
SRX13465664	12890761	129008	12591687	26446	0	0	0	0	0	0	0	0	0	137687	5867	66	1.000778774813993	12890761.0	12864315.0	99.79	26446.0	0.21	SRX13465664_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12890761.0	0.0	20-51	53.0	2.85906113393712	50.60361246322075	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass	2.6	12952895	666313	12952895	655536627	2478406	652319613	0.4907451189603781	0.0026	0.078	0.9194
SRX13465665	12345907	129145	12080114	21593	0	0	0	0	0	0	0	0	0	108975	6011	69	1.0460551824989448	12345907.0	12324314.0	99.83	21593.0	0.17	SRX13465665_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12345907.0	0.0	20-51	53.0	2.873134700563992	50.62419010608131	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	12416894	603185	12416894	628465556	2795793	625001785	0.5511473090181572	0.0028	0.0781	0.9191
SRX13465666	12721217	165635	12345711	55721	0	0	0	0	0	0	0	0	0	144443	9618	89	1.3020373758265424	12721217.0	12665496.0	99.56	55721.0	0.44	SRX13465666_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12721217.0	0.0	20-51	52.0	3.4039435902623136	50.61744642827805	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	12797900	635777	12797900	647613435	2993306	643915736	0.5709731763053989	0.0036	0.0848	0.9115
SRX13465667	13754014	203964	13358965	43710	0	0	0	0	0	0	0	0	0	135996	11291	88	1.4829416343476165	13754014.0	13710304.0	99.68	43710.0	0.32	SRX13465667_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13754014.0	0.0	20-51	52.0	2.374963675105586	50.646862654058665	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass	2.6	13827841	654668	13827841	700156684	2818651	696598040	0.5082639473880964	0.0031	0.0707	0.9262
SRX13465668	22881073	217969	22362378	41345	0	0	0	0	0	0	0	0	0	245596	13720	65	0.9526170385453516	22881073.0	22839728.0	99.82	41345.0	0.18	SRX13465668_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22881073.0	0.0	20-51	52.0	1.961283316383113	50.60826915765708	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	22999120	1162024	22999120	1163994302	4726361	1157972289	0.517357601291763	0.0031	0.079	0.9179
