Geneid,SRX669715,SRX669716,SRX669717,SRX669718,SRX669719,SRX669720,SRX669721,SRX669722
SGL_RS02635,5.5650066411760815,5.813193833467303,3.570108220512994,5.302173028128379,4.8894932896782555,4.444414757517485,4.343175851749088,6.423664349364939
SGL_RS02640,6.0632020355326475,5.80219736861564,3.5913010898467657,6.034938553685915,5.908325175543329,5.092897291156703,4.598638285338453,6.96344519645506
SGL_RS02645,5.360689632600138,6.46968348726685,3.4639474966854698,4.734424067487615,4.802757828498667,4.0210350331128275,4.036793614999754,6.621864198757366
SGL_RS02655,7.632955479785943,7.30336435499976,7.571831165621768,7.408398433096851,7.537736011967326,7.383515770648827,7.380107946632389,7.6004791272416705
SGL_RS02660,4.345874399213291,5.961254633016468,3.5824718290151387,4.500262433341572,4.19330286196029,3.7818178648436396,3.7406079066093847,6.387606609112494
SGL_RS02665,5.911628356938295,6.315297966147053,6.0219559266972675,6.255300674440569,5.5272279251976135,5.5088961442121,5.81753957482011,6.869300855398077
SGL_RS02670,9.828016010994475,9.761019175590839,9.894894899878587,9.711739980371586,8.671858005687564,8.85232810196187,9.758516373537566,9.389508108764634
SGL_RS02675,10.623911155050628,10.648270462384547,10.400027234037346,10.384919838252767,9.357910234691227,9.701989000574098,10.437761214905068,10.183404004414445
SGL_RS02680,10.033088410691985,9.641319803972486,9.455001725768797,9.202834412007247,8.511450646359386,8.983174742496198,9.75361656310468,9.48660856501456
SGL_RS02685,10.920675310064867,10.770019608023278,10.778112628640562,10.445668874200477,9.330104386048745,9.7622692863837,10.758890826168528,10.812662197039758
SGL_RS02690,11.172124076238049,10.774392052853159,10.808668454822437,10.520652825040857,9.50833949969149,9.812885655833744,10.448171122621174,10.810212974008882
SGL_RS02695,11.021366796851298,11.1145754096872,11.725286440070843,11.461837991898857,10.214112322935925,10.521562645161975,11.706102964674495,11.442239457157967
SGL_RS02700,11.837075501929622,11.897669123896309,12.586902947374089,12.118576487528363,10.880198141635761,11.091509375733224,12.350220219594446,12.145032807437254
SGL_RS02705,12.905788022788485,13.109461138849227,13.327637974182384,13.052912897265763,12.112792657649312,12.364019562935905,12.834236748184876,12.564222252749902
SGL_RS02710,5.656837130820226,5.10874705582175,4.323966415994391,4.9975575180122584,5.849194709094474,5.716374254773235,4.112265393744052,5.877991715006344
SGL_RS02715,5.077258748627818,4.9537729873643634,3.8173016382328084,4.980776631949565,4.662602496337685,4.484847893508826,3.9795625945069375,5.7719810300079955
SGL_RS02720,5.524082504295549,5.775471639076638,4.795454014755706,5.606574756712105,5.186661633780343,4.986378601160569,4.890889382472203,6.454733153159701
SGL_RS02725,5.999315675373324,6.061871698228244,5.812916221197466,5.881634650170343,5.503595420432781,5.460527322334335,6.046837330916503,6.708799395614734
SGL_RS02730,10.871550499555331,10.58174023683091,10.677284518586093,10.794770070212106,11.118446620449927,11.045348708102402,10.687477778704356,10.413272682862324
SGL_RS02735,4.394774615429057,5.076631751577271,3.388404689899221,4.980662725612773,3.9321036726006935,3.3942730267765104,3.98786010796278,5.8740390034510765
SGL_RS02740,4.813834257190935,4.826870667227179,4.0870360370473895,5.04648247870607,3.7124790670417918,3.7324337236233838,4.335607399425964,5.594444472981194
SGL_RS02745,4.231642187767809,4.819801440816556,3.617191991396289,4.599320699711228,4.046048173299188,3.8252940347788753,4.052823015163565,5.140193958956009
SGL_RS02750,4.928897367991595,5.4178090269446875,3.633082853615669,5.044095322492589,4.791770648137757,4.451140572542709,4.103454726938907,6.114465560845041
SGL_RS02755,6.975981085936558,6.718668730135527,6.368265552320523,6.708268690049586,6.789957865683508,6.657172452323253,6.213818167123906,6.952787693965041
SGL_RS02765,6.441442694805831,5.847424276104947,4.981693019874935,5.783881312943819,5.914846833485646,5.446531276330485,5.03874713394179,6.634629063354765
SGL_RS02770,5.481325469771074,5.294719058309919,6.141438463867166,6.398508886398509,5.177253360771091,4.833985753539017,6.176936963919575,6.226583888114092
SGL_RS19750,5.6474658678047795,4.582256771959681,2.3464666845509097,5.102843979039281,4.904998305056264,4.376873266140842,3.556936770943787,5.785763783373779
SGL_RS02775,6.786796921410037,5.646688610004176,4.583908075679503,6.427594233954795,6.21565491177302,5.822847991886236,4.97469106293909,6.886458048776115
SGL_RS02780,8.049196219850554,7.99799112986071,8.5990329927151,8.488081138507493,7.704940288724691,7.863386654742144,8.458690740279502,8.79185534916496
SGL_RS02785,6.675515738994048,6.341588405872344,7.094369111415987,6.839461142728853,6.466685595659996,6.359947486907671,6.472976717356127,6.972828294827753
SGL_RS02790,7.587710888134294,7.667610117258157,7.532608963566125,7.363120923031666,7.54573798679042,7.2943090080442206,7.336115821704378,7.376418872175475
SGL_RS02795,6.741700985788731,5.939085225328768,5.675113410846967,6.642886052420355,6.131397960816128,5.823103644465493,6.25995200085367,7.029162993845469
SGL_RS19405,3.6973846472007805,6.64596383329889,2.6952528226813173,4.50604149791871,3.6605965731826857,2.389953595051709,2.11476892433585,7.641183354564584
SGL_RS02800,7.4040275220687155,6.898447162209194,6.25325462780282,5.986874524269272,6.795013756363634,6.584422238062772,6.042817729630111,6.702646814935172
SGL_RS02805,6.191309768696014,6.558223253268647,6.086640641420803,6.217264424725657,6.390459486584341,6.008369253289517,5.7929588198093525,6.520408222947262
SGL_RS02810,7.148142849767157,6.908065526061087,6.74081420761448,6.994736990215168,6.999618910436922,6.750096360329365,6.839398539522691,7.443984707656574
SGL_RS02815,7.3883954549737485,6.94906108001946,7.044003834485245,7.0718185689418425,7.3038447670589,6.873298841969221,6.945345633723677,7.219399570046665
SGL_RS02820,6.9331248519097,6.788195188613147,7.359292422708872,7.585884462314029,7.099671236552169,6.813040111370953,7.126364554645449,7.597027640462144
SGL_RS02825,9.129137650713036,8.753546916022207,9.932841112015206,9.842047903210199,10.035011694715289,10.24465390622136,9.999518197999754,9.840706610565597
SGL_RS02830,3.213364453399792,5.4827137819007605,2.0856229495635668,3.7403300670418953,2.2498609859204692,1.9751016340635497,2.835897931515342,6.3014703593776735
SGL_RS02835,4.918325328919354,4.928794606178586,4.820408766590671,5.164143158255066,4.612846065952587,4.3258998293745945,4.943845041763823,5.893684032810473
SGL_RS02840,6.273143075841469,6.232141793631342,5.796835493033223,5.927209033157847,5.73962332031756,5.49356513178066,5.32862843630844,6.660182630418248
SGL_RS02845,9.425222531234338,8.647840417903884,8.683019801776855,8.779419179817406,8.839913532530323,8.831335628664238,9.100618854462798,9.67675658878106
SGL_RS02850,7.756417140615418,7.1180617663739865,7.483241527250978,7.542461281332493,7.174320813317764,7.053389467641867,7.446271367340835,7.88368511421777
SGL_RS02855,7.4469584760102965,6.762835629463512,6.37711817410441,6.595556874344041,6.957312207867955,7.099356972590907,6.158777191629779,7.062261871793551
SGL_RS02860,7.703071934980423,6.7581411313247886,6.023278142076319,6.864475765008285,7.155989574981083,6.754252951645534,6.183032260685736,7.404699273611222
SGL_RS02865,7.283232775954738,6.644969629486012,6.6797805469735945,7.035251623927395,6.562085775892402,6.539160865668044,6.901780157924176,7.387150031856182
SGL_RS02870,8.205268166531585,7.724407123747332,7.695912765536327,7.660081071636869,7.762068137234273,7.718655035696228,7.609596951907042,7.963719610504724
SGL_RS02875,9.356369268866988,8.87112356480625,8.947619581776735,8.758968346928324,9.180180017973125,9.222377855101913,8.760555325747234,9.079538030338055
SGL_RS02880,10.151724055894379,9.789804922789868,9.935040203062275,9.768364384525535,9.835454541446166,10.019856871250381,10.343191405491696,10.252770196579059
SGL_RS02885,8.964771983731229,8.958270076582393,9.362598128518371,9.10209885216938,8.921318216241023,9.034202904381608,8.937435440402426,8.842647240435674
SGL_RS02890,9.663993343789866,10.001926424153748,10.061299802476883,9.998740437370468,9.689814133259345,9.957647375046996,10.356718790594678,10.050471707988434
SGL_RS02895,8.35051531872849,7.666436970818656,7.671030394702243,7.655865982972782,7.777595204618012,7.730827506998708,7.636635673614281,7.828062574048117
SGL_RS02900,5.90401660834405,5.47388998330606,5.352269091164421,5.740038871038214,5.647365262149872,5.458074182636494,5.427421763268318,6.064740782227845
SGL_RS02905,5.91686642062123,5.669657273222691,5.586459047623642,6.050463079060728,5.82669080456007,5.567774504631518,5.651669070454789,6.482839551495437
SGL_RS02910,5.048676682332502,5.0747981046365105,4.7713609764606835,5.491360971440917,4.940463349841489,4.619683061476109,4.724262846845911,5.556914175611942
SGL_RS02915,5.138906606762541,5.259123969699154,5.3120515530868,5.58609519431621,5.057952178651011,4.681644157512228,5.524761837077699,6.319247689082307
SGL_RS19550,5.3394312435706635,5.482044858990579,4.7444234230598505,5.0271719295229795,4.8663179605852696,4.5687886946403236,4.402113944446854,5.790896363756165
SGL_RS02920,5.845189243522345,5.772549211045023,4.450918470804662,5.580115849947666,4.9806231891081145,4.753634417800148,4.9269115222892985,6.470680019458432
SGL_RS02925,5.738497894312561,5.624805300745459,4.096226073444596,5.434503699360496,5.080717663504013,5.0725991611645735,4.261240007570305,6.5699354151228135
SGL_RS02930,5.159267146522178,5.429087774098179,4.240281582330866,5.725201791215328,4.980464222483761,4.940567840261873,4.975746468895529,6.286637662655904
SGL_RS02935,4.263743814591044,5.220984375564841,3.0332283323909417,4.258423298086772,4.173225525855399,3.6881723606211123,4.044194673788415,6.201175152115029
SGL_RS02940,6.072244008065512,5.611324195775907,5.791041342578806,5.919428614845083,5.7031398508110485,5.46393816579046,5.666732662621193,6.331835685658759
SGL_RS02945,4.796784389550154,5.76981771831582,5.147193449533263,5.254650873397882,5.063328545354021,4.072201345022986,5.161589447850163,6.2305886904792676
SGL_RS02950,5.395632348513809,6.420053796234872,6.191756117749075,6.3922950439357615,5.267365952337315,5.246309693380644,6.180701674114501,6.438334761644396
SGL_RS02955,4.867575591123181,5.279744074702735,4.134432084326643,4.89059628168345,4.401225215765235,4.075281981147024,3.9793374302806086,6.169812715674569
SGL_RS02960,6.206944044284581,5.518691670673985,5.2235962887330105,6.291997806826086,5.6180869500475055,5.683379646270425,5.457350488254451,6.568028115649165
SGL_RS02965,6.607291275054005,6.0746520668945925,6.521462415709505,6.293288235476183,5.876551789085822,5.790957072420674,7.01955734584897,7.123323360967325
SGL_RS02970,6.713323497534441,6.718710631915358,6.805610645865203,6.920197238672886,5.377651466180572,5.323766209976583,7.038614517263687,6.463233243990013
SGL_RS02975,6.31574805200506,6.075400724175576,5.944269527368771,6.292090022477216,6.578354281563959,6.312017276901476,5.63545375718866,6.774535596186523
SGL_RS02980,8.208795677826252,8.749540090176863,8.224594211320719,8.279750864447236,9.039169735971674,9.760966796812715,8.267893200438891,9.170684083589954
SGL_RS02985,6.618052281906507,6.283270360313018,7.418543166706146,6.701596295174315,6.781483695148502,6.779828457725564,6.949661976366852,7.324488066765515
SGL_RS02990,7.102577468774307,6.773380046986122,6.7226004908356245,6.947685942168643,6.8790505971920615,6.771694397303028,6.44925807994576,7.018650489744441
SGL_RS02995,6.640579374467327,6.258908196242909,6.220018192979963,6.714909460760927,5.987415203876466,5.933975366850476,6.361382102608806,7.110912729948424
